Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Status,Energy Source 1,Energy Source 2,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year
12436,Michigan State University,10328,T B Simon Power Plant,MI,Ingham,GEN4,ST,,21.0,21.0,21.0,OP,BIT,NG,8,1993, , 
49889,Mount Carmel Cogen Inc,10343,Foster Wheeler Mt Carmel Cogen,PA,Northumberland,TG1,ST,,47.3,43.0,40.0,OP,WC,NG,1,1990, , 
55919,Georgia-Pacific Consr Prods LP-Green Bay,10360,Green Bay West Mill,WI,Brown,GEN6,ST,,18.7,18.0,18.0,OP,BIT,PC,1,1963, , 
55919,Georgia-Pacific Consr Prods LP-Green Bay,10360,Green Bay West Mill,WI,Brown,GEN7,ST,,28.9,23.0,23.0,OP,BIT,PC,1,1969, , 
55919,Georgia-Pacific Consr Prods LP-Green Bay,10360,Green Bay West Mill,WI,Brown,GEN9,ST,,43.2,38.0,38.0,OP,BIT,PC,12,1985, , 
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN1,ST,,25.0,11.7,14.1,OP,SUB,NG,3,1978, , 
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN2,ST,,44.5,23.7,15.9,OP,SUB,NG,3,1979, , 
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN3,ST,,44.5,36.4,36.0,OP,SUB,NG,11,1982, , 
9628,Hopewell Operating Services LLC,10377,James River Genco LLC,VA,HOPEWELL CITY,GEN1,ST,,57.4,46.3,46.3,OP,BIT,,1,1988, , 
9628,Hopewell Operating Services LLC,10377,James River Genco LLC,VA,HOPEWELL CITY,GEN2,ST,,57.4,46.3,46.3,OP,BIT,,1,1988, , 
59621,North Carolina Renewable Power,10380,Elizabethtown Power LLC,NC,Bladen,GEN1,ST,,34.7,32.0,32.0,OS,BIT,TDF,12,1985, , 
59593,NC Renewable Power - Lumberton LLC,10382,Lumberton,NC,Robeson,GEN1,ST,,34.7,32.0,32.0,OA,BIT,TDF,12,1985, , 
55739,Edgecombe Operating Services LLC,10384,Edgecombe Genco LLC,NC,Edgecombe,GEN1,ST,,57.4,57.8,57.8,OP,BIT,,10,1990, , 
55739,Edgecombe Operating Services LLC,10384,Edgecombe Genco LLC,NC,Edgecombe,GEN2,ST,,57.4,57.8,57.8,OP,BIT,,10,1990, , 
39878,Solutia Inc-Indian,10417,Indian Orchard Plant 1,MA,HAMPDEN,TG,ST,,5.7,3.5,4.2,OP,BIT,PUR,5,1985, , 
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN1,ST,,11.0,11.0,11.0,OP,BIT,NG,1,1947, , 
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN3,ST,,11.0,11.0,11.0,OP,BIT,NG,1,1948, , 
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN4,ST,,4.1,4.1,4.1,OP,BIT,NG,1,1939, , 
54784,NewPage Corporation,10495,Rumford Cogeneration,ME,Oxford,GEN1,ST,,102.6,85.0,95.0,OP,BIT,TDF,1,1990, , 
450,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,ID,Twin Falls,1500,ST,,1.5,1.2,1.2,OP,BIT,NG,12,1948, , 
450,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,ID,Twin Falls,2500,ST,,2.5,2.3,2.3,OP,BIT,NG,12,1948, , 
450,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,ID,Twin Falls,4000,ST,,6.2,5.0,5.0,OP,BIT,SUB,9,1994, , 
14932,US Operating Services Company,10566,Chambers Cogeneration LP,NJ,Salem,GEN1,ST,,285.0,244.0,242.0,OP,BIT,DFO,3,1994, , 
5670,Ebensburg Power Co,10603,Ebensburg Power,PA,Cambria,GEN1,ST,,57.6,50.0,50.0,OP,WC,,11,1990, , 
2884,Cambria CoGen Co,10641,Cambria Cogen,PA,Cambria,GEN1,ST,,98.0,87.5,87.5,OP,WC,,3,1991, , 
